createdAt,m,pVal.createdAt,pVal.updatedAt,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-06T11:45:05.357Z,C8:F0:9E:28:00:CD,,,0,47.20,-70,21.30,17:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:45:05.357Z
2023-06-06T11:55:05.346Z,C8:F0:9E:28:00:CD,,,0,46.60,-69,21.00,17:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:55:05.346Z
2023-06-06T12:00:05.351Z,C8:F0:9E:28:00:CD,,,0,52.50,-72,21.30,17:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:00:05.351Z
2023-06-06T12:05:05.350Z,C8:F0:9E:28:00:CD,,,0,47.50,-71,21.10,17:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:05:05.350Z
2023-06-06T12:10:05.348Z,C8:F0:9E:28:00:CD,,,0,51.50,-69,20.90,17:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:10:05.348Z
2023-06-06T12:15:05.359Z,C8:F0:9E:28:00:CD,,,0,49.00,-70,21.50,17:45:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:15:05.359Z
2023-06-06T12:20:05.360Z,C8:F0:9E:28:00:CD,,,0,48.30,-71,21.70,17:50:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:20:05.360Z
2023-06-06T12:25:05.363Z,C8:F0:9E:28:00:CD,,,0,48.00,-72,22.00,17:55:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:25:05.363Z
2023-06-06T12:30:05.396Z,C8:F0:9E:28:00:CD,,,0,47.90,-71,22.20,18:0:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:30:05.396Z
2023-06-06T12:35:05.351Z,C8:F0:9E:28:00:CD,,,0,48.30,-71,22.50,18:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:35:05.351Z
2023-06-06T12:40:05.357Z,C8:F0:9E:28:00:CD,,,0,48.60,-72,22.60,18:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:40:05.357Z
2023-06-06T12:45:05.364Z,C8:F0:9E:28:00:CD,,,0,49.10,-72,22.70,18:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:45:05.364Z
2023-06-06T12:50:05.366Z,C8:F0:9E:28:00:CD,,,0,49.30,-70,22.80,18:20:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:50:05.366Z
2023-06-06T12:55:05.359Z,C8:F0:9E:28:00:CD,,,0,49.60,-71,22.90,18:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T12:55:05.359Z
2023-06-06T13:00:05.369Z,C8:F0:9E:28:00:CD,,,0,49.70,-73,23.00,18:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:00:05.369Z
2023-06-06T13:05:05.376Z,C8:F0:9E:28:00:CD,,,0,48.90,-73,23.10,18:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:05:05.376Z
2023-06-06T13:10:05.374Z,C8:F0:9E:28:00:CD,,,0,50.70,-73,23.50,18:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:10:05.374Z
2023-06-06T13:15:05.360Z,C8:F0:9E:28:00:CD,,,0,51.00,-76,23.70,18:45:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:15:05.360Z
2023-06-06T13:20:05.377Z,C8:F0:9E:28:00:CD,,,0,50.50,-74,23.90,18:50:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:20:05.377Z
2023-06-06T13:25:05.362Z,C8:F0:9E:28:00:CD,,,0,49.80,-74,23.90,18:55:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:25:05.362Z
2023-06-06T13:30:05.368Z,C8:F0:9E:28:00:CD,,,0,49.50,-73,24.00,19:0:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:30:05.368Z
2023-06-06T13:35:05.370Z,C8:F0:9E:28:00:CD,,,0,49.80,-73,24.10,19:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:35:05.370Z
2023-06-06T13:40:05.362Z,C8:F0:9E:28:00:CD,,,0,49.80,-70,24.10,19:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:40:05.362Z
2023-06-06T13:45:05.376Z,C8:F0:9E:28:00:CD,,,0,50.10,-72,24.20,19:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:45:05.376Z
2023-06-06T13:50:05.379Z,C8:F0:9E:28:00:CD,,,0,49.30,-71,24.00,19:20:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:50:05.379Z
2023-06-06T13:50:34.728Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-06T13:50:34.722Z,,,,,19:20:33 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-06T13:50:34.728Z
2023-06-06T13:50:36.198Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-06T13:50:36.193Z,,,,,19:20:34 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-06T13:50:36.198Z
2023-06-06T13:55:05.420Z,C8:F0:9E:28:00:CD,,,0,49.00,-75,23.90,19:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T13:55:05.420Z
2023-06-06T14:00:05.381Z,C8:F0:9E:28:00:CD,,,0,49.30,-78,24.70,19:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T14:00:05.381Z
2023-06-06T14:05:05.368Z,C8:F0:9E:28:00:CD,,,0,49.10,-73,25.50,19:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T14:05:05.368Z
2023-06-06T14:10:05.381Z,C8:F0:9E:28:00:CD,,,0,50.40,-74,26.00,19:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T14:10:05.381Z
